slug,markdown_file,markdown_author,library_id,library_title,library_author,library_content_length,anarchist_id,anarchist_title,anarchist_author,anarchist_language
animal-liberation-is-climate-justice,09_Environment_Article_animal-liberation-is-climate-justice.md,,10536,Animal Liberation Is Climate Justice,Unknown,54569,7547,Animal Liberation is Climate Justice,Laura Schleifer & Dan Fischer,en
crimethinc-prism-the-internet-as-new-enclosure,NOT FOUND,,498,CrimethInc.   Prism  The Internet as New Enclosure,Unknown,6142,10791,Prism: The Internet as New Enclosure,CrimethInc.,en
critical-thoughts-on-consensus-decision-making,06_Technology_AI_Article_critical-thoughts-on-consensus-decision-making.md,,2551,Critical Thoughts on Consensus Decision Making,Unknown,38561,11029,Critical Thoughts on Consensus Decision Making,James Herod,en
hope-in-the-collapse,10_Historical_Documents_Article_hope-in-the-collapse.md,,10747,Hope in the Collapse,Unknown,100011,14578,Hope in the Collapse,Punch Up * Kick Down Distro,en
jessica-moran-to-spread-the-revolution-anarchist-archives-and-libraries,01_Political_Theory_Article_jessica-moran-to-spread-the-revolution-anarchist-archives-and-libraries.md,,762,jessica-moran-to-spread-the-revolution-anarchist-archives-and-libraries,Unknown,35632,15612,To Spread the Revolution,Jessica Moran,en
john-creaghe-no-rent-in-sheffield,03_Research_Papers_Articles_john-creaghe-no-rent-in-sheffield.md,,9707,john-creaghe-no-rent-in-sheffield,Unknown,2108,15804,“No Rent” in Sheffield,John Creaghe,en
kevin-carson-the-rent-s-still-too-damn-high-here-s-how-to-lower-it,08_Economics_Social_Articles_kevin-carson-the-rent-s-still-too-damn-high-here-s-how-to-lower-it.md,,10507,kevin-carson-the-rent-s-still-too-damn-high-here-s-how-to-lower-it,Unknown,5173,16895,The Rent’s Still Too Damn High — Here’s How to Lower It,Kevin Carson,en
kevin-carson-the-rentier-economy-vulture-capital-and-enshittification,08_Economics_Social_Articles_kevin-carson-the-rentier-economy-vulture-capital-and-enshittification.md,,10508,kevin-carson-the-rentier-economy-vulture-capital-and-enshittification,Unknown,72,16896,"The Rentier Economy, Vulture Capital, and Enshittification",Kevin Carson,en
love-as-a-revolutionary-social-ethic,08_Economics_Social_Article_love-as-a-revolutionary-social-ethic-1.md,,10440,Love as a Revolutionary Social Ethic,Unknown,58299,18176,Love as a Revolutionary Social Ethic,Punch Up * Kick Down Distro,en
mike-davis-tenant-organizing-rent-strikes-and-the-workers-movement,05_Architecture_Urban_Articles_mike-davis-tenant-organizing-rent-strikes-and-the-workers-movement.md,,9862,mike-davis-tenant-organizing-rent-strikes-and-the-workers-movement,Unknown,10013,19572,"Tenant Organizing, Rent Strikes and the Workers Movement",Mike Davis,en
oscar-wilde-the-soul-of-man-under-socialism,08_Economics_Social_Article_oscar-wilde-the-soul-of-man-under-socialism-1.md,,10450,Oscar Wilde. The Soul of Man under Socialism,Unknown,105960,20859,The Soul of Man under Socialism,Oscar Wilde,en
p-m-bolo-bolo,01_Political_Theory_Books_p-m-bolo-bolo,,1622,p-m-bolo-bolo,Unknown,301095,20912,Bolo’bolo,P.M.,en
robert-anton-wilson-the-permanent-universal-rent-strike,03_Research_Papers_Articles_robert-anton-wilson-the-permanent-universal-rent-strike.md,,9715,robert-anton-wilson-the-permanent-universal-rent-strike,Unknown,58,22557,The Permanent Universal Rent Strike,Robert Anton Wilson,en
swedish-syndicalists-organizing-at-zalando,01_Political_Theory_Article_swedish-syndicalists-organizing-at-zalando.md,,1144,Swedish syndicalists organizing at Zalando,Unknown,3597,23996,Swedish syndicalists organizing at Zalando,Jon Bekken,en
the-conference-on-money,03_Research_Papers_Article_the-conference-on-money.md,,9492,The Conference on Money,Unknown,38350,24232,The Conference on Money,James Herod,en
tom-wetzel-1931-barcelona-mass-rent-strike,03_Research_Papers_Articles_tom-wetzel-1931-barcelona-mass-rent-strike.md,,9717,tom-wetzel-1931-barcelona-mass-rent-strike,Unknown,45,24584,1931: Barcelona mass rent strike,Tom Wetzel,en
