slug,title,author,filename,category,doctype
100-years-ago-the-philadelphia-dockers-strike-and-local-8-of-the-iww-mouvement-communiste-and-kole,100 Years Ago The Philadelphia dockers strike and Local 8 of the IWW - Mouvement Communiste and Kole,Unknown,01_Political_Theory_Article_100-years-ago-the-philadelphia-dockers-strike-and-local-8-of-the-iww-mouvement-c.md,01,
13340-29558-1-pb-1,13340-29558-1-PB-1,Unknown,01_Political_Theory_Article_13340-29558-1-pb-1.md,01,
13340-29558-1-pb,13340-29558-1-PB,Unknown,01_Political_Theory_Article_13340-29558-1-pb.md,01,
1892-new-orleans-general-strike,1892 New Orleans General Strike,Unknown,01_Political_Theory_Article_1892-new-orleans-general-strike.md,01,
1902-belgian-general-strike,1902 Belgian General Strike,Unknown,01_Political_Theory_Article_1902-belgian-general-strike.md,01,
1905-swedish-workers-threaten-general-strike-against-war-with-norway,1905 Swedish workers threaten general strike against war with Norway,Unknown,01_Political_Theory_Article_1905-swedish-workers-threaten-general-strike-against-war-with-norway.md,01,
1907-iranian-general-strike,1907 Iranian General Strike,Unknown,01_Political_Theory_Article_1907-iranian-general-strike.md,01,
1909-swedish-general-strike,1909 Swedish General Strike,Unknown,01_Political_Theory_Article_1909-swedish-general-strike.md,01,
1912-brisbane-general-strike,1912 Brisbane General Strike,Unknown,01_Political_Theory_Article_1912-brisbane-general-strike.md,01,
1912-lawrence-textile-strike-wikipedia,1912 Lawrence textile strike - Wikipedia,Unknown,01_Political_Theory_Article_1912-lawrence-textile-strike-wikipedia.md,01,
1919-21-trinidadian-general-strike,1919-21 Trinidadian General Strike,Unknown,01_Political_Theory_Article_1919-21-trinidadian-general-strike.md,01,
1919-peru-general-strike-for-the-8-hour-day,1919 Peru General Strike for the 8 Hour Day,Unknown,01_Political_Theory_Article_1919-peru-general-strike-for-the-8-hour-day.md,01,
1920-turin-general-strike,1920  Turin General Strike,Unknown,01_Political_Theory_Article_1920-turin-general-strike.md,01,
1922-guayaquil-general-strike,1922 Guayaquil General Strike,Unknown,01_Political_Theory_Article_1922-guayaquil-general-strike.md,01,
1927-austrian-general-strike,1927 Austrian General Strike,Unknown,01_Political_Theory_Article_1927-austrian-general-strike.md,01,
1931-chileans-overthrow-dictator-carlos-ibaez-del-campo,1931 Chileans Overthrow Dictator Carlos Ibañez del Campo,Unknown,01_Political_Theory_Article_1931-chileans-overthrow-dictator-carlos-ibañez-del-campo.md,01,
1933-cuban-general-strike,1933 Cuban General Strike,Unknown,01_Political_Theory_Article_1933-cuban-general-strike.md,01,
1935-cuban-general-strike,1935 Cuban General Strike,Unknown,01_Political_Theory_Article_1935-cuban-general-strike.md,01,
1942-luxembuorg-general-strike,1942 Luxembuorg General Strike,Unknown,01_Political_Theory_Article_1942-luxembuorg-general-strike.md,01,
1944-el-salvador-general-strike-brings-down-dictatorship,1944 El Salvador General Strike Brings Down Dictatorship,Unknown,01_Political_Theory_Article_1944-el-salvador-general-strike-brings-down-dictatorship.md,01,
1944-guatemala-general-strike-overthrows-dictator,1944 Guatemala General Strike Overthrows Dictator,Unknown,01_Political_Theory_Article_1944-guatemala-general-strike-overthrows-dictator.md,01,
1947-general-strike-ceylon-sri-lanka,"1947 General Strike, Ceylon (Sri Lanka)",Unknown,01_Political_Theory_Article_1947-general-strike-ceylon-sri-lanka.md,01,
1947-mombasa-general-strike,1947 Mombasa General Strike,Unknown,01_Political_Theory_Article_1947-mombasa-general-strike.md,01,
1948-zanzibar-city-general-strike,1948 Zanzibar City General Strike,Unknown,01_Political_Theory_Article_1948-zanzibar-city-general-strike.md,01,
1950-austrian-general-strike,1950 Austrian General Strike,Unknown,01_Political_Theory_Article_1950-austrian-general-strike.md,01,
1956-haitian-general-strike-against-dictator,1956 Haitian General Strike Against Dictator,Unknown,01_Political_Theory_Article_1956-haitian-general-strike-against-dictator.md,01,
1957-colombian-general-strike,1957 Colombian General Strike,Unknown,01_Political_Theory_Article_1957-colombian-general-strike.md,01,
1961-62-dominican-general-strike-ends-dictatorship,1961-62 Dominican General Strike Ends Dictatorship,Unknown,01_Political_Theory_Article_1961-62-dominican-general-strike-ends-dictatorship.md,01,
1964-sudanese-general-strike,1964 Sudanese General Strike,Unknown,01_Political_Theory_Article_1964-sudanese-general-strike.md,01,
1974-ethiopian-general-strike,1974 Ethiopian General Strike,Unknown,01_Political_Theory_Article_1974-ethiopian-general-strike.md,01,
1983-85-bolivian-protests-and-strikes-defeat-president,1983-85 Bolivian Protests and Strikes Defeat President,Unknown,01_Political_Theory_Article_1983-85-bolivian-protests-and-strikes-defeat-president.md,01,
1984-uruguay-general-strike,1984 Uruguay General Strike,Unknown,01_Political_Theory_Article_1984-uruguay-general-strike.md,01,
1985-sudanese-general-strike-against-dictatorship,1985 Sudanese General Strike Against Dictatorship,Unknown,01_Political_Theory_Article_1985-sudanese-general-strike-against-dictatorship.md,01,
1991-mali-general-strike,1991 Mali General Strike,Unknown,01_Political_Theory_Article_1991-mali-general-strike.md,01,
1994-wallis-and-futuna-general-strike,1994 Wallis and Futuna General Strike,Unknown,01_Political_Theory_Article_1994-wallis-and-futuna-general-strike.md,01,
200-years-of-labor-history-blackstone-river-valley-national-historical-park-us-national-park-service,200 Years of Labor History - Blackstone River Valley National Historical Park (U.S. National Park Service),Unknown,01_Political_Theory_Article_200-years-of-labor-history-blackstone-river-valley-national-historical-park-us-n.md,01,
2005-tonga-public-servants-general-strike,2005 Tonga Public Servants General Strike,Unknown,01_Political_Theory_Article_2005-tonga-public-servants-general-strike.md,01,
2007-chad-government-employees-strike,2007 Chad Government Employees Strike,Unknown,01_Political_Theory_Article_2007-chad-government-employees-strike.md,01,
2015233884the-division,2015.233884.The-Division,Unknown,01_Political_Theory_Article_2015233884the-division.md,01,
2022-global-climate-strike-travailleuses-et-travailleurs-pour-la-justice-climatique,2022 Global Climate Strike Travailleuses et Travailleurs pour la Justice Climatique,Unknown,01_Political_Theory_Article_2022-global-climate-strike-travailleuses-et-travailleurs-pour-la-justice-climati.md,01,
21st-october-a-day-of-general-strike,21st October a day of general strike,Unknown,01_Political_Theory_Article_21st-october-a-day-of-general-strike.md,01,
3-positions-against-prison,3 Positions Against Prison,Unknown,01_Political_Theory_Article_3-positions-against-prison.md,01,
50-years-of-equal-exploitation,50 Years of Equal Exploitation,Unknown,01_Political_Theory_Article_50-years-of-equal-exploitation.md,01,
91723-police-collective-bargaining-and-police-violence-final,9.17.23 Police-Collective-Bargaining-and-Police-Violence FINAL,Unknown,01_Political_Theory_Article_91723_police-collective-bargaining-and-police-violence_final.md,01,
short-call-short-call-june-national, Short Call  - short-call-June-National,Unknown,01_Political_Theory_Article__short-call_-short-call-june-national.md,01,
a-79-year-old-woman-who-bowls-an-interview-with-diva-agostinelli-anarchist,"A 79 year old woman who bowls an interview with Diva Agostinelli, anarchist",Unknown,01_Political_Theory_Article_a-79-year-old-woman-who-bowls-an-interview-with-diva-agostinelli-anarchist.md,01,
a-boyle-heights-rent-strike-forged-a-path-for-other-tenants-to-fight-back,A Boyle Heights Rent Strike Forged a Path for Other Tenants to Fight Back,Unknown,01_Political_Theory_Article_a-boyle-heights-rent-strike-forged-a-path-for-other-tenants-to-fight-back.md,01,
a-brief-critique-of-anarcho-syndicalism,A Brief Critique of Anarcho-Syndicalism,Unknown,01_Political_Theory_Article_a-brief-critique-of-anarcho-syndicalism.md,01,
a-brilliant-but-forgotten-idea-the-class-union,A Brilliant But Forgotten Idea The Class Union,Unknown,01_Political_Theory_Article_a-brilliant-but-forgotten-idea-the-class-union.md,01,
a-class-perspective-on-the-women-question,A Class Perspective on the 'Women Question',Unknown,01_Political_Theory_Article_a-class-perspective-on-the-women-question.md,01,
a-class-war-against-state-war-iww-istanbuls-statement-on-the-turkish-invasion-of-syria,A Class War Against State War – IWW Istanbul’s Statement on the Turkish Invasion of Syria,Unknown,01_Political_Theory_Article_a-class-war-against-state-war-iww-istanbuls-statement-on-the-turkish-invasion-of.md,01,
a-cyborg-manifesto,A Cyborg Manifesto,Unknown,01_Political_Theory_Article_a-cyborg-manifesto.md,01,
a-e-i-o-u-agitate-educate-inoculate-organize-union-push-from-wages-so-low-youll-freak-by-mike,"A-E-I-O-U Agitate, Educate, Inoculate, Organize, Union  pUsh (from Wages So Low You’ll Freak by Mike",Unknown,01_Political_Theory_Article_a-e-i-o-u-agitate-educate-inoculate-organize-union-push-from-wages-so-low-youll.md,01,
a-general-strike-starting-from-refinery-workers-at-the-caribbean-island-of-curacao-awaiting-new-ma,A general strike starting from refinery workers at the caribbean island of Curacao - awaiting new ma,Unknown,01_Political_Theory_Article_a-general-strike-starting-from-refinery-workers-at-the-caribbean-island-of-curac.md,01,
a-gigantic-network-of-narrow-streams-ditching-the-formal-iww-and-building-the-real-tyler-zee,A gigantic network of narrow streams ditching the formal IWW and building the real - Tyler Zee,Unknown,01_Political_Theory_Article_a-gigantic-network-of-narrow-streams-ditching-the-formal-iww-and-building-the-re.md,01,
a-goal-and-strategy-for-anarchy,A Goal and Strategy for Anarchy,Unknown,01_Political_Theory_Article_a-goal-and-strategy-for-anarchy.md,01,
a-great-plains-association-for-anarchy,A Great Plains Association for Anarchy ,Unknown,01_Political_Theory_Article_a-great-plains-association-for-anarchy_.md,01,
a-half-built-garden-ruthanna-emrys,A Half-Built Garden - Ruthanna Emrys,Unknown,01_Political_Theory_Article_a-half-built-garden-ruthanna-emrys.md,01,
a-healthy-planet-for-our-children-to-inherit-or-destroying-the-earth-for-jobs-join-thousands-of-wor,"A healthy planet for our children to inherit, or destroying the earth for jobs Join Thousands of Wor",Unknown,01_Political_Theory_Article_a-healthy-planet-for-our-children-to-inherit-or-destroying-the-earth-for-jobs-jo.md,01,
a-letter-on-metacognition-ft-a-social-experiment,A letter on Metacognition [ft. a social experiment],Unknown,01_Political_Theory_Article_a-letter-on-metacognition-ft-a-social-experiment.md,01,
